Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,20-Oct-15,2488.75,2496.25,2530,2495.6,2523.2,2526.75,2520.95,1347542,3397089855,60572,942992,69.98
TCS,EQ,21-Oct-15,2526.75,2535,2542,2522.25,2526,2530,2532.48,964844,2443449159,80004,691629,71.68
TCS,EQ,23-Oct-15,2530,2548,2548,2527.3,2536.95,2537.15,2534.65,1167699,2959713466,39962,862305,73.85
TCS,EQ,26-Oct-15,2537.15,2549,2549,2515.1,2540,2536.55,2530.16,707315,1789621755,58521,469883,66.43
TCS,EQ,27-Oct-15,2536.55,2530.05,2544.9,2520.35,2528.9,2531.1,2531.42,765210,1937067443,47064,541265,70.73
TCS,EQ,28-Oct-15,2531.1,2510.05,2533.55,2510.05,2528,2529.1,2524.11,627671,1584311788,43535,444506,70.82
TCS,EQ,29-Oct-15,2529.1,2533.55,2535.4,2490.05,2496,2495.35,2500.06,1565158,3912986456,61541,1065888,68.1
TCS,EQ,30-Oct-15,2495.35,2500,2511.9,2485,2500,2495.2,2495.93,758348,1892786967,41071,519557,68.51
TCS,EQ,2-Nov-15,2495.2,2500,2522.8,2487.55,2518,2517.35,2507.96,659647,1654368763,48056,480522,72.85
TCS,EQ,3-Nov-15,2517.35,2528,2547.8,2518.5,2538.85,2543.45,2536.88,682453,1731302985,39895,502388,73.62
TCS,EQ,4-Nov-15,2543.45,2545,2547.2,2520,2526.75,2533.8,2532.27,495717,1255289591,41282,284406,57.37
TCS,EQ,5-Nov-15,2533.8,2530.8,2534.95,2480,2485,2482.65,2496.94,798049,1992676741,38722,556372,69.72
TCS,EQ,6-Nov-15,2482.65,2492,2518.25,2483.45,2505.2,2505.75,2507.54,454012,1138452606,26028,298424,65.73
TCS,EQ,9-Nov-15,2505.75,2495,2502.75,2468.6,2474,2471.35,2477.88,1010778,2504589509,42927,819330,81.06
TCS,EQ,10-Nov-15,2471.35,2472.95,2477,2450,2455,2458.15,2463.3,680960,1677407796,53282,479205,70.37
TCS,EQ,11-Nov-15,2458.15,2475,2475,2450,2472,2468.8,2467.45,67582,166754977.6,5197,34003,50.31
TCS,EQ,13-Nov-15,2468.8,2438.05,2438.05,2386.55,2396,2397.4,2405.31,1371616,3299155303,77174,958618,69.89
TCS,EQ,16-Nov-15,2397.4,2390,2390,2356,2376,2374.6,2371.62,1021764,2423237597,67518,701532,68.66
TCS,EQ,17-Nov-15,2374.6,2380.5,2398.45,2375,2390,2390.55,2385.85,992514,2367989028,58593,755518,76.12
TCS,EQ,18-Nov-15,2390.55,2388.9,2388.9,2346,2349.65,2351.45,2358.29,760176,1792717016,43678,506662,66.65
TCS,EQ,19-Nov-15,2351.45,2365.35,2381.6,2352,2367,2362.55,2366.14,933453,2208680750,55764,632570,67.77
TCS,EQ,20-Nov-15,2362.55,2366.5,2423.55,2361.95,2394.5,2398.35,2403.22,1006063,2417790418,60130,575994,57.25
